الجامعات,المدينة,التخصصات,الحقل,الحد الادنى ,الحد التنافسي لسنة 2020,الحد التنافسي لسنة 2021,الحد التنافسي لسنة 2022,الحد التنافسي لسنة 2023,الحد التنافسي لسنة 2024,الحد التنافسي المتوقع,عدد ساعات التخصص,سعر الساعة للتنافسي,سعر الساعة الموازي,عدد سنوات الدراسة,التكلفة الكليه(تنافس),التكلفة الكليه(موازي),تدريب ميداني,نسبة العملي,تقييم صعوبة التخصص,حالة سوق العمل,وصف للتخصص,نوع الجامعة
الجامعة الأردنية,عمان,هندسة الميكانيك,هندسي,80,96.7,87.7,91.95,95.75,94.3,93.28,160.00,29.00,90.00,4,4640.00,14400.00,1,2,3,0,تصميم وتشغيل الآلات والأنظمة الميكانيكية والطاقة والتبريد.,1
الجامعة الأردنية,عمان,الهندسة الكيميائية,هندسي,80,96.8,90.45,93.4,95.1,94.1,93.97,160.00,29.00,85.00,4,4640.00,13600.00,1,2,4,0,تحويل المواد الخام إلى منتجات مفيدة عبر عمليات كيميائية وصناعية.,1
الجامعة الأردنية,عمان,هندسة الحاسوب,هندسي,80,96.7,93.5,94.35,98,98,96.11,132.00,29.00,90.00,4,3828.00,11880.00,1,2,3,2,دمج العتاد والبرمجيات لتصميم أنظمة الحاسوب والدوائر الذكية.,1
الجامعة الأردنية,عمان,هندسة الميكاترونيكس,هندسي,80,96.6,90.8,93.03,95.5,96.4,94.466,132.00,29.00,85.00,4,3828.00,11220.00,1,3,3,0,دمج الميكانيك والكهرباء والبرمجة لصنع أنظمة وأجهزة ذكية.,1
الجامعة الأردنية,عمان,الهندسة الصناعية,هندسي,80,97.3,91.65,94.75,96.5,94.7,94.98,132.00,29.00,95.00,4,3828.00,12540.00,1,2,3,1,تحسين كفاءة الإنتاج والعمليات وإدارة الجودة والموارد.,1
الجامعة الأردنية,عمان,الاحياء والبيلوجيا,العلوم والتكنلوجيا,65,93.2,84.3,87.75,91.1,85.3,88.33,132.00,26.00,60.00,4,3432.00,7920.00,0,1,3,0,دراسة الكائنات الحية ووظائفها وتطورها وعلاقتها بالبيئة.,1
الجامعة الأردنية,عمان,الكيمياء,العلوم والتكنلوجيا,65,93.7,87.15,88.45,91.4,87.6,89.66,132.00,26.00,60.00,4,3432.00,7920.00,0,1,3,1,فهم تركيب المواد وتفاعلاتها واستخدامها في مختلف المجالات.,1
الجامعة الأردنية,عمان,الفيزياء,العلوم والتكنلوجيا,65,92.4,83.05,85.95,89.55,81.8,86.55,132.00,26.00,60.00,4,3432.00,7920.00,0,1,4,1,دراسة قوانين الطبيعة والطاقة والحركة والمادة وتطبيقاتها.,1
الجامعة الأردنية,عمان,الجيلوجيا,العلوم والتكنلوجيا,65,85.5,73.75,79.35,83.85,72,78.89,132.00,26.00,60.00,4,3432.00,7920.00,0,2,3,0,دراسة الأرض والصخور والمعادن والموارد الطبيعية والزلازل,1
الجامعة الأردنية,عمان,الرياضيات,العلوم والتكنلوجيا,65,95.6,83.3,89.8,92.75,85.2,89.33,132.00,26.00,60.00,4,3432.00,7920.00,0,0,4,1,دراسة الأعداد والتحليل والمنطق وتطبيقها في العلوم والتقنية.,1
الجامعة الأردنية,عمان,علوم الحاسوب,العلوم والتكنلوجيا,65,96.1,89.75,95.15,96.8,97.1,94.98,132.00,47.00,90.00,4,6204.00,11880.00,1,2,3,2,دراسة البرمجة والخوارزميات والذكاء الحاسوبي وتطوير التطبيقات.,1
الجامعة الأردنية,عمان,علم البيانات,العلوم والتكنلوجيا,65,95.5,87.55,91.35,95.95,84.1,90.89,132.00,70.00,100.00,4,9240.00,13200.00,1,3,3,2,تحليل البيانات واستخراج الأنماط لاتخاذ قرارات وتوقعات ذكية.,1
الجامعة الأردنية,عمان,الذكاء الاصطناعي,العلوم والتكنلوجيا,65,90,90,93.5,96.3,92.8,92.52,132.00,70.00,100.00,4,9240.00,13200.00,1,3,3,2,تطوير أنظمة تتعلم وتفكر وتحل المشاكل مثل الإنسان,1
الجامعة الأردنية,عمان,الامن السيبراني,العلوم والتكنلوجيا,65,89,89.77,93.7,95.75,90.4,91.724,132.00,60.00,100.00,4,7920.00,13200.00,1,3,3,2,حماية الأنظمة والشبكات والبيانات من الهجمات والاختراقات.,1
الجامعة الأردنية,عمان,هندسة البرمجيات,العلوم والتكنلوجيا,65,95.5,89.75,95.15,96.8,94,94.24,132.00,29.00,60.00,4,3828.00,7920.00,1,3,2,2,بناء وتطوير برامج كبيرة بجودة عالية وبطريقة منظمة.,1
الجامعة الأردنية,عمان,نظم المعلومات الحاسوبية,العلوم والتكنلوجيا,65,96.1,89.75,95.15,96.8,94.7,94.5,132.00,47.00,90.00,4,6204.00,11880.00,1,2,2,1,تصميم وإدارة أنظمة معلومات تخدم الأعمال والمؤسسات.,1
الجامعة الأردنية,عمان,الانتاج الحيواني,العلوم والتكنلوجيا,65,87,77.3,79.35,85.85,79.9,81.88,132.00,26.00,65.00,4,3432.00,8580.00,1,2,2,1,"تربية وتحسين إنتاج الحيوانات (لحوم، ألبان، دواجن) علمياً.",1
الجامعة الأردنية,عمان,علم وتكنلوجيا الغذاء,العلوم والتكنلوجيا,70,93.5,91.05,91.2,93.1,95.6,92.89,132.00,35.00,85.00,4,4620.00,11220.00,1,3,2,0,تصنيع وحفظ وتحسين جودة وسلامة الأغذية,1
الجامعة الأردنية,عمان,تغذية الانسان والحميات,العلوم والتكنلوجيا,70,96.6,93.2,95.05,94.95,96.4,95.24,132.00,35.00,85.00,4,4620.00,11220.00,1,3,2,0,دراسة الغذاء وتأثيره على الصحة ووضع الأنظمة الغذائية العلاجية.,1
الجامعة الأردنية,عمان,اللغة العربية وآدابها,اللغات والعلوم الأجتماعية,65,97.3,93,91.35,95.7,91.5,93.77,132.00,16.00,45.00,4,2112.00,5940.00,0,0,2,1,دراسة اللغة العربية نحوًا وبلاغةً وأدبًا قديمًا وحديثًا,1
الجامعة الأردنية,عمان,اللغة الإنجليزية وآدابها,اللغات والعلوم الأجتماعية,65,98.4,94.15,96.6,98.45,95.2,96.56,132.00,16.00,70.00,4,2112.00,9240.00,0,0,2,0,دراسة اللغة الإنجليزية ومهاراتها وأدبها وثقافتها.,1
الجامعة الأردنية,عمان,اللغة الفرنسية وآدابها,اللغات والعلوم الأجتماعية,65,94.7,86.95,90.1,93.1,97.4,92.45,132.00,16.00,65.00,4,2112.00,8580.00,0,0,2,1,دراسة اللغة الفرنسية وقواعدها وأدبها وثقافتها.,1
الجامعة الأردنية,عمان,اللغة الانجليزية التطبيقية,اللغات والعلوم الأجتماعية,65,99.2,96.4,98.1,98.95,89.1,96.35,132.00,20.00,70.00,4,2640.00,9240.00,0,2,2,0,تركيز على استخدام الإنجليزية عمليًا في الترجمة والتواصل وسوق العمل.,1
الجامعة الأردنية,عمان,علم النفس,اللغات والعلوم الأجتماعية,65,95.2,89.4,90.1,92.95,93.9,92.31,132.00,16.00,45.00,4,2112.00,5940.00,1,1,3,1,فهم سلوك الإنسان وعملياته العقلية والانفعالية وتشخيصها.,1
الجامعة الأردنية,عمان,علم الاجتماع,اللغات والعلوم الأجتماعية,65,92.7,86.75,88.65,93.1,88.8,90,132.00,16.00,45.00,4,2112.00,5940.00,0,1,2,0,دراسة المجتمع والعلاقات الاجتماعية والتغيرات والقضايا المجتمعية.,1
الجامعة الأردنية,عمان,التربية الخاصة,اللغات والعلوم الأجتماعية,65,92.9,88.65,89.6,93.5,90.85,91.1,132.00,16.00,50.00,4,2112.00,6600.00,1,2,3,2,تعليم ودعم ذوي الاحتياجات الخاصة وطرق دمجهم وتطوير قدراتهم.,1
الجامعة الأردنية,عمان,التربية البدنية,اللغات والعلوم الأجتماعية,65,93.7,88.35,90.05,93.15,92.75,91.6,132.00,20.00,50.00,4,2640.00,6600.00,1,3,2,1,دراسة الرياضة وعلوم الحركة والتدريب لتحسين الصحة واللياقة,1
الجامعة الأردنية,عمان,الارشاد والصحة النفسية,اللغات والعلوم الأجتماعية,65,93.7,93.7,93.7,94.5,91.65,93.45,132.00,16.00,50.00,4,2112.00,6600.00,1,2,3,2,تقديم الدعم النفسي والإرشاد لحل المشكلات وتحسين التوافق.,1
الجامعة الأردنية,عمان,الفلسفة,اللغات والعلوم الأجتماعية,65,82.85,82.85,85.6,85.6,86.8,84.74,132.00,16.00,45.00,4,2112.00,5940.00,0,0,3,0,دراسة الفكر الإنساني والمنطق والأسئلة الكبرى حول الوجود والمعرفة والأخلاق.,1
الجامعة الأردنية,عمان,الآثار,اللغات والعلوم الأجتماعية,65,88.7,83.5,85.1,87.95,87.4,86.53,132.00,16.00,45.00,4,2112.00,5940.00,1,2,2,0,دراسة الحضارات القديمة والتنقيب عن آثارها وحفظها وتحليلها.,1
الجامعة الأردنية,عمان,الادارة السياحية,اللغات والعلوم الأجتماعية,65,91.8,85.95,89.15,94,89.6,90.1,132.00,16.00,45.00,4,2112.00,5940.00,1,2,2,1,تنظيم وإدارة الخدمات والبرامج السياحية وتسويق الوجهات.,1
الجامعة الأردنية,عمان,القانون,القانون والعلوم الشرعية,65,97.6,95.4,96.75,97.45,94.4,96.32,132.00,16.00,65.00,4,2112.00,8580.00,0,1,4,1,دراسة الأنظمة والتشريعات لتنظيم حقوق الناس وحل النزاعات.,1
الجامعة الأردنية,عمان,أصول الدين,القانون والعلوم الشرعية,75,93.2,85.3,86.35,90.4,85.15,88.08,132.00,16.00,45.00,4,2112.00,5940.00,0,0,3,0,دراسة العقيدة الإسلامية والتفسير والحديث وعلومها.,1
الجامعة الأردنية,عمان,الفقه وأصوله,القانون والعلوم الشرعية,75,92.5,87.05,89.15,92.2,86.25,89.43,132.00,16.00,45.00,4,2112.00,5940.00,0,0,3,0,فهم الأحكام الشرعية وكيفية استنباطها من مصادرها.,1
الجامعة الأردنية,عمان,إدارة الأعمال,الأعمال,65,96.4,90.95,95.05,96.05,95.3,94.75,132.00,20.00,70.00,4,2640.00,9240.00,1,2,2,1,تنظيم وتخطيط وإدارة الشركات والموارد لتحقيق أهدافها.,1
الجامعة الأردنية,عمان,المحاسبة,الأعمال,65,97.4,93.6,95.95,97.15,97,96.22,132.00,20.00,70.00,4,2640.00,9240.00,1,2,3,1,تسجيل وتحليل العمليات المالية وإعداد التقارير والميزانيات.,1
الجامعة الأردنية,عمان,التمويل,الأعمال,65,95.5,90.05,93.85,95.1,94.3,93.76,132.00,20.00,70.00,4,2640.00,9240.00,1,2,3,2,إدارة الأموال والاستثمارات والقروض واتخاذ قرارات مالية ذكية.,1
الجامعة الأردنية,عمان,التسويق,الأعمال,65,95.7,91.25,93.75,96.1,95.15,94.39,132.00,20.00,70.00,4,2640.00,9240.00,1,2,2,2,دراسة السوق وطرق الترويج للمنتجات وفهم سلوك العملاء.,1
الجامعة الأردنية,عمان,نظم المعلومات الادارية,الأعمال,65,94.9,90.45,93.4,96.2,94.75,93.94,132.00,47.00,90.00,4,6204.00,11880.00,1,2,3,2,دمج الإدارة مع التقنية لتطوير أنظمة معلومات تخدم المؤسسات.,1
الجامعة الأردنية,عمان,الإدارة العامة,الأعمال,65,94.7,89.25,92.5,94.7,93.3,92.89,132.00,20.00,45.00,4,2640.00,5940.00,1,2,2,0,إدارة وتنظيم العمل في القطاعات الحكومية والخدمية.,1
الجامعة الأردنية,عمان,إقتصاد الأعمال,الأعمال,65,94.6,88.8,92.6,95.05,92.6,92.73,132.00,16.00,45.00,4,2112.00,5940.00,0,1,3,1,دراسة الاقتصاد وتطبيقه على قرارات الشركات والأسواق.,1
الجامعة الهاشمية,الزرقاء,الطب,صحي,90,98.8,95.23,96.55,97.45,97.7,97.146,257.00,85.00,175.00,6,21845.00,44975.00,1,3,4,2,يدرس جسم الأنسان وتشخيصه وعلاجة جراحيا و دوائياً.,1
الجامعة الهاشمية,الزرقاء,طب الأسنان,صحي,90,96.35,96.35,96.35,96.35,96.7,96.42,198.00,150.00,225.00,5,29700.00,44550.00,1,3,4,1,صحة الفم والأسنان.,1
الجامعة الهاشمية,الزرقاء,الصيدلة,صحي,80,97.4,92.05,94.2,95.65,94.9,94.84,165.00,75.00,140.00,5,12375.00,23100.00,1,3,3,1,صناعة أدوية و طرق التحضير و فهم التأثيرات للأدوية.,1
الجامعة الهاشمية,الزرقاء,التمريض,صحي,70,92.5,92.9,92.5,92.9,91.9,92.54,135.00,20.00,60.00,4,2700.00,8100.00,1,3,3,1,يهتم برعاية المرضى ومتابعة حالتهم وتنفيذ خطط العلاج والتوعية الصحية بالتعاون مع الفريق الطبي.,1
الجامعة الهاشمية,الزرقاء,علوم المختبرات الطبية,صحي,70,94.2,86.25,90.25,92.35,91.7,90.95,132.00,30.00,60.00,4,3960.00,7920.00,1,4,3,1,إجراء التحاليل الطبية على عينات المريض للكشف عن امراض وتشخيصها.,1
الجامعة الهاشمية,الزرقاء,العلاج الطبيعي,صحي,70,95,87.6,90.8,92.7,93.7,91.96,132.00,30.00,55.00,4,3960.00,7260.00,1,3,2,1,يعالج الإصابات وضعف الحركة بإستخدام تمارين وأجهزة متخصصة.,1
الجامعة الهاشمية,الزرقاء,العلاج الوظيفي,صحي,70,93.3,85.45,87.7,90.8,90.65,89.58,132.00,30.00,55.00,4,3960.00,7260.00,,3,2,2,تأهيل المرضى الأطفال وكبار السن لمساعدتهم على أستعادة مهارات الحياة.,1
الجامعة الهاشمية,الزرقاء,دكتور الصيدلة,صحي,80,96.4,92.05,94.2,95.65,95.6,94.78,219.00,75.00,150.00,6,16425.00,32850.00,1,4,4,1,التعامل المباشر مع المريض وفي المشفى ومتابعة العلاجات.,1
الجامعة الهاشمية,الزرقاء,هندسة العمارة,هندسي,80,96.1,86.35,87.35,91.95,93.9,91.13,171.00,50.00,90.00,5,8550.00,15390.00,1,3,3,1,يجمع بين الفن والهندسة لتصميم المباني والفراغات بما يحقق الجمال والوظيفة والأمان.,1
الجامعة الهاشمية,الزرقاء,هالهندسة المدنية,هندسي,80,93.2,80.25,80,87.5,88.23,85.836,160.00,40.00,90.00,4,6400.00,14400.00,1,2,3,1,تصميم وتنفيذ البنية التحتية مثل المباني والطرق والجسور وشبكات المياه.,1
الجامعة الهاشمية,الزرقاء,هندسة الكهرباء,هندسي,80,92.8,80,81.35,88.7,95.3,87.63,160.00,40.00,75.00,4,6400.00,12000.00,1,2,4,2,دراسة وتصميم أنظمة الطاقة الكهربائية والإلكترونيات والتحكم.,1
الجامعة الهاشمية,الزرقاء,هندسة الميكانيك,هندسي,80,94.4,80.9,82.1,88.4,94.3,88.02,160.00,40.00,90.00,4,6400.00,14400.00,1,2,3,2,تصميم وتشغيل الآلات والأنظمة الميكانيكية والطاقة والتبريد.,1
الجامعة الهاشمية,الزرقاء,هندسة الحاسوب,هندسي,80,94.7,87.5,90.83,93.75,98.05,92.966,160.00,40.00,75.00,4,6400.00,12000.00,1,2,3,1,دمج العتاد والبرمجيات لتصميم أنظمة الحاسوب والدوائر الذكية.,1
الجامعة الهاشمية,الزرقاء,هندسة الميكاترونيكس,هندسي,80,94.4,83.85,86.23,89.65,96.4,90.106,132.00,40.00,70.00,4,5280.00,9240.00,1,3,3,2,دمج الميكانيك والكهرباء والبرمجة لصنع أنظمة وأجهزة ذكية.,1
الجامعة الهاشمية,الزرقاء,الهندسة الصناعية,هندسي,80,95.5,85.85,89.35,92.65,94.7,91.61,132.00,40.00,70.00,4,5280.00,9240.00,1,2,3,2,تحسين كفاءة الإنتاج والعمليات وإدارة الجودة والموارد.,1
الجامعة الهاشمية,الزرقاء,الاحياء والبيلوجيا,العلوم والتكنلوجيا,65,89.7,80.9,83.75,88.95,85.35,85.73,132.00,18.00,40.00,4,2376.00,5280.00,0,1,3,1,دراسة الكائنات الحية ووظائفها وتطورها وعلاقتها بالبيئة.,1
الجامعة الهاشمية,الزرقاء,الكيمياء,العلوم والتكنلوجيا,65,91.1,81.9,84.8,89.35,87.65,86.96,132.00,18.00,40.00,4,2376.00,5280.00,0,1,3,0,فهم تركيب المواد وتفاعلاتها واستخدامها في مختلف المجالات.,1
الجامعة الهاشمية,الزرقاء,الفيزياء,العلوم والتكنلوجيا,65,90,79.7,80.05,86.4,81.8,83.59,132.00,18.00,40.00,4,2376.00,5280.00,0,1,4,1,دراسة قوانين الطبيعة والطاقة والحركة والمادة وتطبيقاتها.,1
الجامعة الهاشمية,الزرقاء,الجيلوجيا,العلوم والتكنلوجيا,65,79.1,69.65,72.3,78.6,72.05,74.34,132.00,18.00,40.00,4,2376.00,5280.00,0,2,3,0,دراسة الأرض والصخور والمعادن والموارد الطبيعية والزلازل,1
الجامعة الهاشمية,الزرقاء,الرياضيات,العلوم والتكنلوجيا,65,93.2,81.6,83.95,88.6,85.25,86.52,132.00,18.00,40.00,4,2376.00,5280.00,0,0,4,1,دراسة الأعداد والتحليل والمنطق وتطبيقها في العلوم والتقنية.,1
الجامعة الهاشمية,الزرقاء,علوم الحاسوب,العلوم والتكنلوجيا,65,89.2,81.7,90.15,94.55,94,89.92,132.00,45.00,80.00,4,5940.00,10560.00,1,2,3,2,دراسة البرمجة والخوارزميات والذكاء الحاسوبي وتطوير التطبيقات.,1
الجامعة الهاشمية,الزرقاء,علم البيانات,العلوم والتكنلوجيا,65,83,83,87.75,93.2,92.5,87.89,132.00,60.00,80.00,4,7920.00,10560.00,1,3,3,2,تحليل البيانات واستخراج الأنماط لاتخاذ قرارات وتوقعات ذكية.,1
الجامعة الهاشمية,الزرقاء,الذكاء الاصطناعي,العلوم والتكنلوجيا,65,83,83,87.75,93.2,92.5,87.89,132.00,60.00,80.00,4,7920.00,10560.00,1,3,3,2,تطوير أنظمة تتعلم وتفكر وتحل المشاكل مثل الإنسان,1
الجامعة الهاشمية,الزرقاء,الامن السيبراني,العلوم والتكنلوجيا,65,84.9,84.9,89.3,92.95,90.7,88.55,132.00,60.00,80.00,4,7920.00,10560.00,1,3,3,2,حماية الأنظمة والشبكات والبيانات من الهجمات والاختراقات.,1
الجامعة الهاشمية,الزرقاء,هندسة البرمجيات,العلوم والتكنلوجيا,65,89.5,83.05,89.15,93.1,91.7,89.3,132.00,45.00,75.00,4,5940.00,9900.00,1,3,2,2,بناء وتطوير برامج كبيرة بجودة عالية وبطريقة منظمة.,1
الجامعة الهاشمية,الزرقاء,نظم المعلومات الحاسوبية,العلوم والتكنلوجيا,65,85,80.7,86.2,91.6,89.6,86.62,132.00,45.00,70.00,4,5940.00,9240.00,1,2,2,2,تصميم وإدارة أنظمة معلومات تخدم الأعمال والمؤسسات.,1
الجامعة الهاشمية,الزرقاء,تغذية الانسان والحميات,العلوم والتكنلوجيا,70,92.7,84.7,86.75,90.85,87.3,88.46,132.00,30.00,55.00,4,3960.00,7260.00,1,3,2,1,دراسة الغذاء وتأثيره على الصحة ووضع الأنظمة الغذائية العلاجية.,1
الجامعة الهاشمية,الزرقاء,اللغة العربية وآدابها,اللغات والعلوم الأجتماعية,65,91.9,92.3,91.9,92.8,89.7,91.72,132.00,16.00,40.00,4,2112.00,5280.00,0,0,2,1,دراسة اللغة العربية نحوًا وبلاغةً وأدبًا قديمًا وحديثًا,1
الجامعة الهاشمية,الزرقاء,اللغة الإنجليزية وآدابها,اللغات والعلوم الأجتماعية,65,95,89.95,94.6,95.4,93.3,93.65,132.00,16.00,60.00,4,2112.00,7920.00,0,0,2,1,دراسة اللغة الإنجليزية ومهاراتها وأدبها وثقافتها.,1
الجامعة الهاشمية,الزرقاء,اللغة الانجليزية التطبيقية,اللغات والعلوم الأجتماعية,65,95,89.95,94.6,95.4,95.5,94.09,132.00,16.00,60.00,4,2112.00,7920.00,1,2,2,0,تركيز على استخدام الإنجليزية عمليًا في الترجمة والتواصل وسوق العمل.,1
الجامعة الهاشمية,الزرقاء,التربية الخاصة,اللغات والعلوم الأجتماعية,65,86.3,83.1,84.85,91.5,88.5,86.85,132.00,30.00,50.00,4,3960.00,6600.00,1,2,3,2,تعليم ودعم ذوي الاحتياجات الخاصة وطرق دمجهم وتطوير قدراتهم.,1
الجامعة الهاشمية,الزرقاء,الارشاد والصحة النفسية,اللغات والعلوم الأجتماعية,65,89.9,83.4,86.5,91.45,88.45,87.94,132.00,30.00,40.00,4,3960.00,5280.00,1,2,3,2,تقديم الدعم النفسي والإرشاد لحل المشكلات وتحسين التوافق.,1
الجامعة الهاشمية,الزرقاء,الآثار,اللغات والعلوم الأجتماعية,65,66.4,65,65.05,66.9,66.7,66.01,132.00,15.00,40.00,4,1980.00,5280.00,1,2,2,0,دراسة الحضارات القديمة والتنقيب عن آثارها وحفظها وتحليلها.,1
الجامعة الهاشمية,الزرقاء,الادارة السياحية,اللغات والعلوم الأجتماعية,65,84.2,79.4,82.9,89.65,85.3,84.29,132.00,15.00,40.00,4,1980.00,5280.00,1,2,2,1,تنظيم وإدارة الخدمات والبرامج السياحية وتسويق الوجهات.,1
الجامعة الهاشمية,الزرقاء,إدارة الأعمال,الأعمال,65,91.5,83.75,90.5,93.45,91.5,90.14,132.00,16.00,60.00,4,2112.00,7920.00,1,2,2,1,تنظيم وتخطيط وإدارة الشركات والموارد لتحقيق أهدافها.,1
الجامعة الهاشمية,الزرقاء,المحاسبة,الأعمال,65,92.9,87.3,92.25,95.65,89.5,91.52,132.00,16.00,60.00,4,2112.00,7920.00,1,2,3,1,تسجيل وتحليل العمليات المالية وإعداد التقارير والميزانيات.,1
الجامعة الهاشمية,الزرقاء,التسويق,الأعمال,65,94.05,94.05,94.05,94.05,94.2,94.08,132.00,40.00,60.00,4,5280.00,7920.00,1,2,2,2,دراسة السوق وطرق الترويج للمنتجات وفهم سلوك العملاء.,1
الجامعة الهاشمية,الزرقاء,نظم المعلومات الادارية,الأعمال,65,90.5,85.9,90.15,93.7,91.5,90.35,132.00,20.00,60.00,4,2640.00,7920.00,1,2,3,2,دمج الإدارة مع التقنية لتطوير أنظمة معلومات تخدم المؤسسات.,1
جامعة اليرموك,إربد,الطب,صحي,90,98.6,94.6,95.55,97,97.1,96.57,257.00,100.00,200.00,6,25700.00,51400.00,1,3,4,1,يدرس جسم الأنسان وتشخيصه وعلاجة جراحيا و دوائياً.,1
جامعة اليرموك,إربد,الصيدلة,صحي,80,97.3,92.3,94.05,94.6,93.9,94.43,198.00,60.00,90.00,5,11880.00,17820.00,1,3,3,1,صناعة أدوية و طرق التحضير و فهم التأثيرات للأدوية.,1
جامعة اليرموك,إربد,التمريض,صحي,70,89,88,90.2,92.15,85.7,89.01,165.00,70.00,90.00,5,11550.00,14850.00,1,3,3,2,يهتم برعاية المرضى ومتابعة حالتهم وتنفيذ خطط العلاج والتوعية الصحية بالتعاون مع الفريق الطبي.,1
جامعة اليرموك,إربد,هندسة العمارة,هندسي,80,95.9,85.8,88.4,92,87.9,90,171.00,60.00,100.00,5,10260.00,17100.00,1,3,3,1,يجمع بين الفن والهندسة لتصميم المباني والفراغات بما يحقق الجمال والوظيفة والأمان.,1
جامعة اليرموك,إربد,هالهندسة المدنية,هندسي,80,93,80.1,84.55,83.65,80,84.26,160.00,60.00,100.00,4,9600.00,16000.00,1,2,3,1,تصميم وتنفيذ البنية التحتية مثل المباني والطرق والجسور وشبكات المياه.,1
جامعة اليرموك,إربد,هندسة الكهرباء,هندسي,80,89.7,80.15,81.95,85.1,80,83.38,160.00,29.00,75.00,4,4640.00,12000.00,1,2,4,2,دراسة وتصميم أنظمة الطاقة الكهربائية والإلكترونيات والتحكم.,1
جامعة اليرموك,إربد,هندسة الميكانيك,هندسي,80,91,83.5,85,91.4,92,88.58,160.00,30.00,55.00,4,4800.00,8800.00,1,2,3,1,تصميم وتشغيل الآلات والأنظمة الميكانيكية والطاقة والتبريد.,1
جامعة اليرموك,إربد,هندسة الحاسوب,هندسي,80,93.9,91.5,90,93,92.5,92.18,160.00,29.00,75.00,4,4640.00,12000.00,1,2,3,1,دمج العتاد والبرمجيات لتصميم أنظمة الحاسوب والدوائر الذكية.,1
جامعة اليرموك,إربد,الهندسة الصناعية,هندسي,80,94.5,84,87.33,91.4,98.8,91.206,132.00,29.00,50.00,4,3828.00,6600.00,1,2,3,2,تحسين كفاءة الإنتاج والعمليات وإدارة الجودة والموارد.,1
جامعة اليرموك,إربد,الاحياء والبيلوجيا,العلوم والتكنلوجيا,65,90.5,79.7,81.05,83.45,77.5,82.44,132.00,30.00,60.00,4,3960.00,7920.00,0,1,3,1,دراسة الكائنات الحية ووظائفها وتطورها وعلاقتها بالبيئة.,1
