طابع زمني,   ما هو معدلك التوجيهي ؟,   ما هو تخصصك الجامعي الحالي؟  (عربي فقط),"   ما مدى اهتمامك بالتكنولوجيا (عندما اخترت تخصصك)  ؟
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بالمجال الصحي والطبي (عندما اخترت تخصصك)
(1= ضعيف جدا )/ (5 = عالي جدا)","  ما مدى اهتمامك بمجال الأعمال والإدارة (عندما اخترت تخصصك) ؟
(1= ضعيف جدا ) / (5 = عالي جدا)","  ما مدى اهتمامك بالمجالات الفنية والإبداعية  (عندما اخترت تخصصك) ؟   
(1= ضعيف جدا) / (5 = عالي جدا)","   أي وصف يعبّر أكثر عن أسلوب تفكيرك (عندما اخترت تخصصك)
",كيف بتشوف شخصيتك كانت  (عندما اخترت تخصصك) ؟,  أي نوع دراسة تفضّل؟ ,  ما أسلوب العمل الذي تفضّله؟  ,"   ما مدى رضاك عن تخصصك الجامعي الحالي؟  راضٍ جدًا / راضٍ / محايد /غير راضٍ
(1=راض جدا) / (4 = غير راض) ",هل لو كان عندك نظام ذكي يرشدك قبل الجامعة، هل كان ممكن يغيّر اختيارك للتخصص؟ 
12:01:09 ص 2026/01/03,65٫8,علم حاسوب ,4,3,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,لا
1:21:58 م 2026/01/03,66,تربيه خاصه ,1,3,1,4,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
2:40:12 م 2026/01/03,66,علم البيانات والذكاء الاصطناعي ,3,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,3,نعم
3:59:29 م 2026/01/03,66,تربية طفولة مبكرة ,2,3,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
5:25:49 م 2026/01/03,66,امن سيبراني,3,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
2:19:53 م 2026/01/03,67,هندسة كهرباء ,5,3,3,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
3:10:36 م 2026/01/03,67,علم الحاسوب,4,1,4,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,2,لا
12:26:31 ص 2026/01/03,68,امن معلومات وادله رقميه,3,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,الاثنين معا,3,لا
6:30:03 ص 2026/01/03,68,أمن سيبراني ,5,1,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
12:29:47 م 2026/01/03,68,كيمياء ,2,2,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
11:27:09 ص 2026/01/03,69,تصميم ازياء,3,3,4,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الفردي,3,لا
9:54:08 م 2026/01/02,70,نظم معلومات صحيه ,3,5,5,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
11:24:03 م 2026/01/02,70,علم الحاسوب,5,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,لا
11:46:24 م 2026/01/02,70,انظمه معلومات حاسوبيه,5,3,4,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,لا
11:56:15 م 2026/01/02,70,تكنولوجيا معلومات الاعمال,2,4,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
12:03:09 ص 2026/01/03,70,امن سبراني,5,3,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:26:53 ص 2026/01/03,70,Bit,2,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
11:47:08 ص 2026/01/03,70,سياحة واثار,5,3,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
12:04:11 م 2026/01/03,70,امن سيبراني ,5,1,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,الاثنين معا,1,نعم
12:12:51 م 2026/01/03,70,تكنولوجيا حيويه,5,4,3,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
1:02:57 م 2026/01/03,70,تكنولوجيا حيوية ,5,5,1,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
1:24:35 م 2026/01/03,70,التربية الخاصة ,4,4,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
1:32:47 م 2026/01/03,70,محاسبه وقانون تجاري ,4,2,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
1:46:50 م 2026/01/03,70,تمريض ,5,4,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,3,نعم
1:51:54 م 2026/01/03,70,علم بيانات و ذكاء اصطناعي ,2,1,2,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,نعم
1:57:09 م 2026/01/03,70,كيمياء,3,4,1,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,4,نعم
2:03:04 م 2026/01/03,70,عمل اجتماعي,4,2,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,نعم
2:30:10 م 2026/01/03,70,علم حاسوب ,5,1,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
2:38:36 م 2026/01/03,70,ذكاء اصطناعي,3,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,لا
2:45:28 م 2026/01/03,70,تربية خاصة,3,5,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
3:42:22 م 2026/01/03,70,هندسة برمجيات,5,5,4,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,لا
4:07:16 م 2026/01/03,70,دعم لوجستي ,5,4,5,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
4:33:28 م 2026/01/03,70,٣.٨٠,3,2,5,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
4:37:28 م 2026/01/03,70,تأهيل رياضي ,5,5,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
4:57:31 م 2026/01/03,70,علاقات دولية ,4,4,4,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
5:45:14 م 2026/01/03,70,كيمياء,3,4,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
6:03:52 م 2026/01/03,70,معلم صف ,5,2,1,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,نعم
8:05:12 م 2026/01/03,70,علم الحاسوب,5,1,2,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
8:35:15 م 2026/01/03,70,مختبرات الاسنان,3,5,2,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
9:16:09 م 2026/01/03,70,تدريب رياضي,1,3,3,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
10:16:09 م 2026/01/02,71,أنظمة المعلومات الحاسوبية ,4,1,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,الاثنين معا,4,لا
11:54:47 م 2026/01/02,71,It,1,1,1,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,1,نعم
12:23:41 ص 2026/01/03,71,علم حاسوب ,3,5,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,3,نعم
11:59:09 ص 2026/01/03,71,التغذية السريرية والحميات ,3,5,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
1:38:37 م 2026/01/03,71,اللغة الإنجليزية وآدابها ,3,3,5,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
1:46:37 م 2026/01/03,71,حقوق,1,1,3,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
4:01:29 م 2026/01/03,71,ترجمة,4,5,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
7:49:02 م 2026/01/03,71,تمريض,3,4,3,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
9:39:48 م 2026/01/02,72,امن سيبراني ,4,2,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,نعم
11:06:25 م 2026/01/02,72,علم حاسوب ,3,3,2,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
11:52:58 م 2026/01/02,72,نظم معلومات حاسوبيه,3,2,1,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
7:23:02 ص 2026/01/03,72,تكنولوجيا معلومات أعمال ,5,1,2,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,نعم
12:48:29 م 2026/01/03,72,ادارة مخاطر مالية وتأمين ,3,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
2:10:54 م 2026/01/03,72,هندسه برمجيات ,1,5,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,لا
2:16:12 م 2026/01/03,72,رياضة,3,5,3,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
3:00:48 م 2026/01/03,72,هندسة برمجيات ,1,1,1,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,1,لا
8:07:04 م 2025/12/31,73,ادب اللغة الإنجليزية وادابها,2,3,1,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,3,نعم
11:43:52 م 2026/01/02,73,الامن السيبراني,2,4,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
6:51:01 ص 2026/01/03,73,تكنولوجيا المعلومات,5,1,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
12:04:54 م 2026/01/03,73,علم الحاسوب ,4,1,3,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
12:15:54 م 2026/01/03,73,تكنولوجيا معلومات الاعمال ,3,4,2,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),4,نعم
12:21:16 م 2026/01/03,73,قانون,4,2,3,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:44:31 م 2026/01/03,73,ارشاد نفسي,2,3,3,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
7:39:57 م 2026/01/03,73,إدارة وتدريب رياضي ,3,2,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
11:22:21 م 2026/01/02,74,معلم صف,3,2,1,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,1,نعم
1:19:50 م 2026/01/03,74,العلاج الطبيعي ,1,5,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الفردي,3,لا
1:39:34 م 2026/01/03,74,ذكاء اصطناعي ,5,2,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
2:05:20 م 2026/01/03,74,علاج طبيعي,1,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
2:22:59 م 2026/01/03,74,عربي,1,1,1,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,4,نعم
4:12:45 م 2026/01/03,74,خدمه اجتامعيه ,3,3,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
4:14:55 م 2026/01/03,74,إدارة أعمال ,3,2,4,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الفردي,2,نعم
6:47:36 م 2026/01/03,74,تمريض ,4,5,3,3,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
11:08:16 م 2026/01/02,74٫6,الأحياء الدقيقة,3,5,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
11:22:59 م 2026/01/02,75,ذكاء اصطناعي ,3,3,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,نعم
11:25:09 م 2026/01/02,75,نظم معلومات حاسوبية ,5,3,5,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
11:44:48 م 2026/01/02,75,ذكاء اصطناعي,3,4,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
11:47:26 م 2026/01/02,75,الأمن السيبراني,3,3,1,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,لا
11:57:12 م 2026/01/02,75,تمريض ,5,1,5,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,1,لا
12:50:49 ص 2026/01/03,75,علم بيانات وذكاء اصطناعي,2,1,3,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
1:25:25 ص 2026/01/03,75,انظمة معلومات حاسوبية,2,2,4,3,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
7:17:03 ص 2026/01/03,75,علم بيانات وذكاء اصطناعي ,3,1,1,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),2,نعم
11:49:12 ص 2026/01/03,75,تاهيل رياضي ,1,3,1,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,الاثنين معا,4,نعم
11:58:35 ص 2026/01/03,75,تسويق رقمي,5,1,5,1,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,4,نعم
12:57:33 م 2026/01/03,75,AI,5,3,4,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
1:07:27 م 2026/01/03,75,طفولة مبكرة ,2,3,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
1:08:33 م 2026/01/03,75,طفولة مبكرة ,2,4,4,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
1:09:40 م 2026/01/03,75,اللغه العربيه ,3,1,1,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),3,لا
1:13:18 م 2026/01/03,75,علم البيانات والذكاء الاصطناعي ,4,4,2,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
2:07:16 م 2026/01/03,75,علم حاسوب ,3,4,2,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
2:08:46 م 2026/01/03,75,انجليزي ,4,2,3,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),3,لا
2:09:38 م 2026/01/03,75,كيميا,3,5,1,1,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
2:37:09 م 2026/01/03,75,الامن سيبراني ,5,2,2,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
3:07:37 م 2026/01/03,75,هندسة برمجيات,3,4,4,2,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,3,نعم
3:09:38 م 2026/01/03,75,الامن السبراني ,5,3,3,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
3:20:56 م 2026/01/03,75,هندسه برمجيات ,2,1,3,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),1,لا
3:44:54 م 2026/01/03,75,أدارة وتدريب رياضي,4,5,4,3,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,نعم
3:46:14 م 2026/01/03,75,علم حاسوب,5,2,3,5,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),4,لا
4:24:24 م 2026/01/03,75,تاريخ,3,1,2,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الفردي,1,نعم
5:27:14 م 2026/01/03,75,محاسبه وقانون تجاري,3,3,5,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
5:27:35 م 2026/01/03,75,محاسبه وقانون تجاري,3,3,5,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
6:14:04 م 2026/01/03,75,ادارة سياحه ,5,2,5,4,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),العمل الجماعي (ضمن فريق),2,نعم
7:57:39 م 2026/01/03,75,محاسبة باللغة الانجليزية ,5,3,5,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,2,نعم
1:45:36 م 2026/01/03,75٫15,الإدارة السياحية,3,2,3,3,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,3,نعم
11:27:45 م 2026/01/02,76,هندسة البرمجيات ,5,1,4,2,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,4,لا
1:50:29 ص 2026/01/03,76,إدارة وتدريب رياضي,5,5,5,5,تفكير تحليلي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,4,نعم
9:53:03 ص 2026/01/03,76,اشعه طبيه ,4,5,3,4,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,الاثنين معا,2,نعم
11:56:13 ص 2026/01/03,76,تسويق الالكتروني ,5,2,1,5,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),مزيج بين النظري والعملي,الاثنين معا,1,نعم
11:58:58 ص 2026/01/03,76,علاج وظيفي ,3,5,2,2,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,1,لا
12:00:31 م 2026/01/03,76,تسويق رقمي ,1,1,5,1,تفكير تحليلي,منطوي (ما بتحب كثير تختلط بالناس),نظري,العمل الفردي,2,لا
1:09:00 م 2026/01/03,76,علم حاسوب,2,1,1,1,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),مزيج بين النظري والعملي,العمل الجماعي (ضمن فريق),1,لا
1:40:35 م 2026/01/03,76,التكنولوجيا المالية ,5,1,4,5,تفكير منطقي,اجتماعي (بتحب تختلط بالناس بكثرة ),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
2:05:03 م 2026/01/03,76,تمريض,2,4,1,2,تفكير منطقي,منطوي (ما بتحب كثير تختلط بالناس),دراسة فيها عملي (تطبيق),الاثنين معا,2,نعم
